ZIP,CITY,COUNTY,STATEID,STATE,LAT,LNG,TIMEZONE,MEDIAN_AGE,POPULATION,POPCHANGE#,POPCHANGE%,DENSITY_PER_KM,HOUSING_UNITS,HOMESCHANGE#,HOMESCHANGE%,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,MEDINCCHANGE#,MEDINCCHANGE%,200K_MORE_%,MEAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,IN_LABOR_FORCE_%,FERTILITY_RATE_%,VOTING_POPULATION,BELOW_POVERTY_LEVEL_%,EDU_HS_OR_ABOVE_%,EDU_BS_OR_AVOVE_%,M_PER_100_F,AGE_UNDER_18_%,AGE_65_OR_ABOVE_%,RACE_WHITE_%,RACE_BLACK_%,RACE_ASIAN_%,CLUSTER,CLUS_NAME
25506,Branchland,Lincoln,WV,West Virginia,38.20696,-82.18599,America/New_York,42.1,5440,171,0.032453976086543934,18.7,1450,99,0.07327905255366396,73000,26934,771,0.02946909758055269,0.0,40971,15552,42.0,0.0,3914,23.8,73.9,5.1,102.6,28.1,12.2,99.6,0.0,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25508,Chapmanville,Logan,WV,West Virginia,37.96346,-82.02167,America/New_York,44.2,9077,-634,-0.06528678817835444,48.8,3104,-89,-0.0278734732226746,97800,38558,890,0.02362748221301901,0.9,55145,23540,42.5,5.2,7125,10.8,78.9,11.7,93.4,21.4,21.9,99.4,0.1,0.1,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25510,Culloden,Cabell,WV,West Virginia,38.39337,-82.06641,America/New_York,41.1,5056,-5,-0.0009879470460383325,60.3,1648,66,0.04171934260429835,126400,59531,5156,0.09482298850574712,2.1,63511,25726,58.4,9.8,3832,13.0,90.9,23.3,110.9,24.2,16.9,97.2,0.6,0.6,3,"Older, Employed, Lower Educated, Middle Income"
25514,Fort Gay,Wayne,WV,West Virginia,38.10073,-82.53023,America/New_York,45.6,3169,-332,-0.094830048557555,22.3,1000,-47,-0.0448901623686724,76700,31458,1105,0.03640496820742595,0.0,40589,18647,43.3,9.2,2535,24.5,72.9,4.0,94.3,19.9,18.6,98.5,0.0,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25523,Hamlin,Lincoln,WV,West Virginia,38.28058,-82.07361999999998,America/New_York,44.2,2930,171,0.06197897789054005,24.4,739,1,0.0013550135501355016,90300,33884,1623,0.05030842193360404,0.0,45109,18240,41.6,2.6,2438,20.9,82.8,12.4,103.5,16.8,21.7,99.0,0.0,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25524,Harts,Lincoln,WV,West Virginia,38.01441,-82.11243,America/New_York,41.1,3205,-172,-0.05093278057447439,14.0,903,7,0.0078125,59300,40577,-1477,-0.03512151043895943,0.8,50389,19488,43.1,2.1,2430,17.8,79.1,4.1,100.7,24.2,12.2,97.8,1.9,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25526,Hurricane,Putnam,WV,West Virginia,38.39829,-81.98472,America/New_York,40.6,22443,-329,-0.014447567187774459,92.1,6824,-29,-0.004231723332846929,184600,61078,1242,0.020756735075874052,7.5,81259,32330,60.0,4.9,17098,6.6,93.9,28.9,94.5,23.8,16.7,96.0,1.7,0.7,2,"Middle Aged, Employed, Educated, Higher Income"
25530,Kenova,Wayne,WV,West Virginia,38.3548,-82.56376999999998,America/New_York,38.7,5520,346,0.06687282566679552,149.3,1722,-62,-0.034753363228699555,103500,41321,3508,0.09277232697749452,2.7,52940,22328,55.4,2.6,4394,13.1,82.5,13.7,107.5,20.4,21.5,97.1,0.6,0.0,4,"Younger, Employed, Lower Educated, Low Income"
25535,Lavalette,Wayne,WV,West Virginia,38.31151,-82.43101999999998,America/New_York,42.4,2809,-194,-0.06460206460206461,60.1,748,-150,-0.16703786191536749,107700,56793,2188,0.040069590696822636,4.9,66393,24034,52.3,8.5,2210,4.2,87.8,18.4,87.4,21.3,13.7,95.3,0.0,0.2,3,"Older, Employed, Lower Educated, Middle Income"
25541,Milton,Cabell,WV,West Virginia,38.4572,-82.12832,America/New_York,42.8,9610,696,0.0780794256226161,51.6,2941,181,0.06557971014492754,141300,46957,-2967,-0.05943033410784392,3.1,63473,26653,57.4,6.0,7694,7.8,88.4,21.5,102.1,18.7,19.0,93.8,0.1,0.6,3,"Older, Employed, Lower Educated, Middle Income"
25545,Ona,Cabell,WV,West Virginia,38.46336,-82.22502,America/New_York,43.0,5116,-146,-0.02774610414291144,62.6,1630,-11,-0.0067032297379646544,146000,61529,1699,0.02839712518803276,5.1,81107,30832,54.7,9.3,3911,7.6,90.8,21.4,98.8,23.6,17.9,98.8,0.6,0.1,3,"Older, Employed, Lower Educated, Middle Income"
25550,Point Pleasant,Mason,WV,West Virginia,38.8682,-82.07576,America/New_York,44.2,8464,116,0.013895543842836608,71.2,2730,-25,-0.009074410163339385,89200,40685,3218,0.0858889155790429,0.0,52510,22690,46.0,5.2,6678,20.1,86.0,12.5,96.2,21.1,21.1,98.1,0.1,0.2,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25560,Scott Depot,Putnam,WV,West Virginia,38.44401,-81.89792,America/New_York,39.9,8388,100,0.012065637065637066,132.9,2471,-162,-0.06152677554120775,196900,77950,4970,0.06810084954782132,5.6,95498,37638,64.5,4.8,6613,1.1,95.8,32.1,96.5,20.4,18.6,94.8,1.0,1.3,2,"Middle Aged, Employed, Educated, Higher Income"
25570,Wayne,Wayne,WV,West Virginia,38.23109,-82.42179,America/New_York,42.4,6318,-101,-0.015734538090045182,32.7,1715,-81,-0.04510022271714922,77100,26785,-10,-0.0003732039559619332,1.9,39021,15709,36.5,6.6000000000000005,4741,30.6,74.5,10.9,90.5,24.9,20.9,99.9,0.1,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25601,Logan,Logan,WV,West Virginia,37.859,-82.00464000000002,America/New_York,42.4,5420,-48,-0.008778346744696415,101.6,1412,-28,-0.019444444444444445,83500,48108,1617,0.034780925340388465,0.9,58114,23512,50.3,4.2,4305,16.4,81.1,11.0,94.3,19.9,19.2,93.7,1.8,2.3,3,"Older, Employed, Lower Educated, Middle Income"
25661,Williamson,Mingo,WV,West Virginia,37.73619,-82.27393000000002,America/New_York,39.9,6292,-87,-0.013638501332497256,45.3,1762,-31,-0.01728945900725042,80100,27323,-7863,-0.2234695617575172,3.0,51011,22030,48.6,1.7999999999999998,4754,27.9,78.4,13.6,79.8,24.1,17.0,87.9,6.8,0.3,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25670,Delbarton,Mingo,WV,West Virginia,37.71866,-82.13833000000002,America/New_York,42.9,5626,-105,-0.01832140987611237,24.0,1847,71,0.03997747747747748,88300,36088,548,0.01541924592009004,2.5,49783,20538,44.6,3.3000000000000003,4405,19.6,77.6,8.7,99.9,21.7,16.2,98.7,0.1,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25674,Kermit,Mingo,WV,West Virginia,37.8689,-82.35159,America/New_York,44.8,2685,-77,-0.027878349022447502,27.5,848,31,0.0379436964504284,74300,30670,-830,-0.026349206349206348,0.3,41986,18252,38.1,5.1,2118,23.1,75.3,9.8,94.6,21.1,19.1,99.9,0.0,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25701,Huntington,Cabell,WV,West Virginia,38.36866,-82.40763000000003,America/New_York,40.8,21132,-683,-0.03130873252349301,252.9,5286,-46,-0.0086271567891973,125100,35958,1263,0.03640293990488543,4.5,59633,28891,54.5,3.7,17378,15.2,88.5,33.3,96.2,16.5,20.9,86.0,9.4,1.8,3,"Older, Employed, Lower Educated, Middle Income"
25702,Huntington,Cabell,WV,West Virginia,38.43827,-82.32918000000002,America/New_York,43.0,7495,-230,-0.029773462783171518,258.4,1865,26,0.014138118542686243,77200,28768,-4161,-0.12636278052780225,1.3,44193,19555,47.7,3.8,6121,19.8,79.7,15.4,105.9,18.1,18.5,97.4,0.3,0.3,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25703,Huntington,Cabell,WV,West Virginia,38.42392,-82.41882,America/New_York,21.4,7515,57,0.007642799678197908,2188.4,550,66,0.13636363636363635,65100,16827,1464,0.09529388791251707,0.0,25127,8560,42.7,3.4000000000000004,6280,35.0,86.8,19.5,90.3,13.7,5.0,73.6,20.0,3.1,5,"Young, Employed, Lower Educated, Low Income"
25704,Huntington,Wayne,WV,West Virginia,38.35346,-82.50874,America/New_York,41.9,16975,402,0.024256320521329876,196.5,4599,-38,-0.008194953633814967,94200,37791,972,0.026399413346370082,0.7,50323,21227,53.9,5.800000000000002,13137,18.1,83.4,16.5,87.0,22.1,17.4,96.0,0.8,0.6,3,"Older, Employed, Lower Educated, Middle Income"
25705,Huntington,Cabell,WV,West Virginia,38.40561,-82.36196,America/New_York,36.8,21805,303,0.014091712398846618,668.1,5703,-50,-0.008691117677733355,121900,39934,-419,-0.01038336678809506,2.9,59936,26494,56.7,4.3,16458,17.6,92.1,33.2,89.8,23.6,15.9,89.8,3.8,2.0,4,"Younger, Employed, Lower Educated, Low Income"
25801,Beckley,Raleigh,WV,West Virginia,37.81451,-81.25466999999998,America/New_York,41.0,33352,-561,-0.016542328900421666,156.9,9629,-1,-0.00010384215991692629,112500,42376,2679,0.0674862080257954,1.7,57997,24720,54.5,3.7,25914,15.9,86.5,20.7,91.4,21.0,19.2,81.0,13.9,1.8,3,"Older, Employed, Lower Educated, Middle Income"
25813,Beaver,Raleigh,WV,West Virginia,37.75948,-81.11545,America/New_York,38.4,7864,360,0.04797441364605544,52.0,1778,122,0.07367149758454106,116200,41422,3341,0.08773404059767337,0.9,57996,19510,39.6,3.3000000000000003,6389,9.3,86.4,20.6,148.3,16.8,14.2,83.2,10.5,0.4,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25832,Daniels,Raleigh,WV,West Virginia,37.72554,-81.10880999999998,America/New_York,43.9,4379,-260,-0.05604656175899978,128.2,1429,-50,-0.03380662609871535,159000,64390,3683,0.060668456685390476,8.8,95257,37890,52.5,6.5,3459,4.8,93.5,35.1,94.2,19.9,21.6,96.8,0.0,2.6,2,"Middle Aged, Employed, Educated, Higher Income"
25840,Fayetteville,Fayette,WV,West Virginia,38.03966,-81.12321999999998,America/New_York,42.2,8325,506,0.06471415782069319,43.7,2772,-8,-0.002877697841726619,98600,44182,5599,0.1451157245418967,3.3,57632,24482,55.0,5.3,6519,12.3,88.2,26.4,95.5,21.5,17.1,96.0,2.7,0.0,3,"Older, Employed, Lower Educated, Middle Income"
25880,Mount Hope,Raleigh,WV,West Virginia,37.87822,-81.20561,America/New_York,41.4,6408,-171,-0.025991792065663474,67.5,1793,-2,-0.0011142061281337048,81400,33853,58,0.001716230211569759,0.6,43764,18283,50.9,5.4,4940,19.8,79.6,9.8,91.6,22.0,18.7,88.3,6.7,1.1,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25901,Oak Hill,Fayette,WV,West Virginia,37.94835,-81.11278,America/New_York,43.8,11325,-56,-0.004920481504261489,140.1,3469,165,0.04993946731234867,91100,35881,-480,-0.013200957069387531,0.4,46313,20013,49.8,6.2,8874,17.1,79.7,16.5,95.7,21.6,20.7,92.2,7.2,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25918,Shady Spring,Raleigh,WV,West Virginia,37.74923,-80.99896,America/New_York,42.8,4576,402,0.09631049353138477,25.4,1517,192,0.1449056603773585,158400,52415,3060,0.06199979738628305,1.6,61277,25352,59.3,2.5,3584,8.1,88.9,20.0,97.7,21.5,18.0,92.7,0.3,0.0,3,"Older, Employed, Lower Educated, Middle Income"
25951,Hinton,Summers,WV,West Virginia,37.6595,-80.86708,America/New_York,50.6,5591,-90,-0.015842281288505546,22.2,1864,-178,-0.0871694417238002,99400,31862,-2941,-0.08450420940723499,0.7,44875,21706,46.6,3.3000000000000003,4681,15.0,79.8,14.3,88.5,16.3,28.8,90.7,6.8,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25962,Rainelle,Greenbrier,WV,West Virginia,37.97432,-80.81168000000002,America/New_York,47.1,3427,-128,-0.0360056258790436,16.8,1130,-12,-0.010507880910683012,83500,33469,1138,0.03519841638056355,0.0,43979,19561,48.5,0.7000000000000001,2764,14.4,81.2,13.1,88.9,19.3,21.4,97.8,0.0,0.0,0,"Middle Aged, Unemployed, Uneducated, Low Income"
25976,Meadow Bridge,Fayette,WV,West Virginia,37.85054,-80.84721,America/New_York,49.7,2655,13,0.004920514761544285,11.4,1050,35,0.03448275862068965,69500,39808,816,0.020927369716865003,0.7,49918,23599,51.0,6.800000000000002,2390,12.7,83.3,15.5,87.8,10.0,24.1,96.2,0.0,0.0,3,"Older, Employed, Lower Educated, Middle Income"
